"","lon","lat"
"511",-91.265137,43.870389
"512",-91.2652792,43.8708814
"513",-91.2651477,43.8711999
"514",-91.2652228,43.8717959
"515",-91.2652479,43.8715472
"516",-91.2651477,43.8720206
"517",-91.2511264,43.8675859
"518",-91.2511264,43.8675859
"519",-91.2511264,43.8675859
"520",-91.2794744,43.8697353
"521",-91.2794744,43.8697353
"522",-91.2794744,43.8697353
"523",-91.2794744,43.8697353
"524",-91.2794744,43.8697353
"525",-91.2794744,43.8697353
"526",-91.2794744,43.8697353
"527",-91.2794744,43.8697353
"528",-91.2794744,43.8697353
"529",-91.2794744,43.8697353
"530",-91.2794744,43.8697353
"531",-91.2794744,43.8697353
"532",-91.2794744,43.8697353
"533",-91.2794744,43.8697353
"534",-91.2794744,43.8697353
"535",-91.2794744,43.8697353
"536",-91.2794744,43.8697353
"537",-91.2794744,43.8697353
"538",-91.2794744,43.8697353
"539",-91.2794744,43.8697353
"540",-91.2794744,43.8697353
"541",-91.2794744,43.8697353
"542",-91.2794744,43.8697353
"543",-91.265392,43.8626351
"544",-91.26558,43.8624465
"545",-91.2656928,43.8629676
"546",-91.2674599,43.8723494
"547",-91.2708063,43.8654108
"548",-91.2713704,43.8827499
"549",-91.2718592,43.8774856
"550",-91.2726677,43.877085
"551",-91.2715253,43.8686994
"552",-91.2715452,43.8686992
"553",-91.2723694,43.8645512
"554",-91.2736642,43.868886
"555",-91.2736642,43.868886
"556",-91.261219,43.8506656
"557",-91.2539453,43.8521448
"558",-91.2622152,43.8549649
"559",-91.2531936,43.8537204
"560",-91.2694339,43.8622733
"561",-91.2701859,43.8627127
"562",-91.2686255,43.8625248
"563",-91.2701107,43.8631613
"564",-91.2694527,43.8636722
"565",-91.2675731,43.8673448
"566",-91.272442,43.8681347
"567",-91.2727429,43.8673853
"568",-91.2687571,43.8673548
"569",-91.2727429,43.8677583
"570",-91.2701538,43.8684856
"571",-91.2673465,43.8695961
"572",-91.2754504,43.875189
"573",-91.2744727,43.8751253
"574",-91.2751684,43.8795002
"575",-91.2722916,43.8817141
"576",-91.2694339,43.8690634
"577",-91.2693587,43.8650351
"578",-91.260298,43.8586802
