"","SampleNumber","Well_Type","Parcel_ID","Site_Address","SampleID","Field.Duplicate..Y.N.","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTriA","PFTeA","PFHxDA","PFODA","PFBS","PFPeS","PFHxS","PFHpS","PFOS","PFNS","PFDS","PFDoS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X10.2.FTSA","FOSA","NMeFOSA","NEtFOSA","NMeFOSAA","NEtFOSAA","NMeFOSE","NEtFOSE","HFPO.DA","DONA","X9Cl.PF3ONS","X11Cl.PF3OUdS","SUM_PFOS_PFOA","SUM_FOSA_NEtFOSE_NEtFOSA_NetFOSAA_PFOS_PFOA","Exceedance_RES","Exceedance_PAL","HI","No_Detections","X","Latitude","Longitude"
"456","380-0","OS Group Sample","4-00380-000","2525 2ND AVENUE W","","",140,-999,-999,-999,11,-999,-999,-999,-999,-999,-999,-999,-999,6.8,5.4,11,-999,8.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.8,19.8,"N","",1.3,"N",NA,43.8634698,-91.2624408
"457","381-0","OS Group Sample","4-00381-000","2527 2ND AVENUE W","","",18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.2,-999,1.4,-999,-999,-999,-999,-999,-999,-999,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.4,2.6,"N","",0.2,"N",NA,43.8636929,-91.262516
"458","383-0","OS Group Sample","4-00383-000","2531 1ST AVENUE W","","",16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.5,1.7,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0.1,"N",NA,43.864023,-91.2613318
"459","384-0","OS Group Sample","4-00384-000","2535 1ST AVENUE W","","",34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1.2,3.2,-999,2.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.5,2.5,"N","",0.2,"N",NA,43.8643031,-91.261313
"460","385-0","OS Group Sample","4-00385-000","2539 1ST AVENUE W","","",66,-999,0.95,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,4.2,3.4,7.4,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,26,"Y","",1.5,"N",NA,43.864433,-91.2613694
"461","386-0","OS Group Sample","4-00386-000","2543 1ST AVENUE W","","",100,1.9,-999,-999,19,-999,-999,-999,-999,-999,-999,-999,-999,6.3,4.9,8.9,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,32,"Y","",1.8,"N",NA,43.8646573,-91.2613318
"462","387-0","OS Group Sample","4-00387-000","2547 1ST AVENUE W","","",110,-999,-999,-999,19,-999,-999,-999,-999,-999,-999,-999,-999,8.1,5.9,12,-999,18,-999,-999,-999,-999,-999,-999,-999,0.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,37.96,"Y","",2.2,"N",NA,43.8648807,-91.2613694
"463","388-0","OS Group Sample","4-00388-000","2551 1ST AVENUE W","","",130,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,9.9,7,15,1.3,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,33,"Y","",2,"N",NA,43.865105,-91.2613318
"464","389-0-A","OS Group Sample","4-00389-000","2555 1ST AVENUE W","","",110,-999,1.2,-999,3.5,-999,-999,-999,-999,-999,-999,-999,-999,12,7.9,14,0.96,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.5,21.5,"Y","",1.4,"N",NA,43.865349,-91.261337
"465","389-0-B","OS Group Sample","","2557 1ST AVENUE W","","",130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,7.9,16,1.1,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,15,"N","",1.2,"N",NA,43.8653522,-91.2613346
"466","406-2","OS Group Sample","4-00404-000","PLAINVIEW ROAD","","",13,1.4,1.1,-999,2.9,-999,-999,-999,-999,-999,-999,-999,-999,3.6,-999,2.9,-999,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.8,4.8,"N","",0.3,"N",NA,43.8687789,-91.2698047
